Name		minicontrol		Action			Detect			Sensitivity						|<--	Output					-->|
	Oct	Map	Key	Touch (Vel 1-24)	Tap (Vel 25-119)	Hit (Vel 120-127)	Event2	Chan	Note	Min	Touch	Tap	Hit	Max	Key Detect	Touch Detect	Touch Action	Tap Detect	Tap Action	Hit Detect	Hit Action	Key complete
			A-1	Little k	Big K	Dash	on	0	9	1	[1-9]|1[0-9]|2[0-4]) 	2[5-9]|[3-9][0-9]|1[0-1][0-9]) 	12[0-7]) 	127	=IF(CONCAT(E12:G12)="","",UNICHAR(34)&H12&" "&I12&" "&J12&UNICHAR(34)&" ) case "&UNICHAR(34)&"$data2"&UNICHAR(34)&" in ")	=IF(ISBLANK(E12),"",L12)	=IF(ISBLANK(E12),"",LOOKUP(E12,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";;  ")	=IF(ISBLANK(F12),"",M12)	=IF(ISBLANK(F12),"",LOOKUP(F12,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";;  ")	=IF(ISBLANK(G12),"",N12)	=IF(ISBLANK(G12),"",LOOKUP(G12,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";; ")	=IF(CONCAT(E12:G12)="","","esac ;;  "&UNICHAR(13)&UNICHAR(10))
			A#-1	Little o	Big O	Equal	on	0	10	1	[1-9]|1[0-9]|2[0-4]) 	2[5-9]|[3-9][0-9]|1[0-1][0-9]) 	12[0-7]) 	127	=IF(CONCAT(E13:G13)="","",UNICHAR(34)&H13&" "&I13&" "&J13&UNICHAR(34)&" ) case "&UNICHAR(34)&"$data2"&UNICHAR(34)&" in ")	=IF(ISBLANK(E13),"",L13)	=IF(ISBLANK(E13),"",LOOKUP(E13,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";;  ")	=IF(ISBLANK(F13),"",M13)	=IF(ISBLANK(F13),"",LOOKUP(F13,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";;  ")	=IF(ISBLANK(G13),"",N13)	=IF(ISBLANK(G13),"",LOOKUP(G13,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";; ")	=IF(CONCAT(E13:G13)="","","esac ;;  "&UNICHAR(13)&UNICHAR(10))
			B-1	Little q	Big Q	Caret	on	0	11	1	[1-9]|1[0-9]|2[0-4]) 	2[5-9]|[3-9][0-9]|1[0-1][0-9]) 	12[0-7]) 	127	=IF(CONCAT(E14:G14)="","",UNICHAR(34)&H14&" "&I14&" "&J14&UNICHAR(34)&" ) case "&UNICHAR(34)&"$data2"&UNICHAR(34)&" in ")	=IF(ISBLANK(E14),"",L14)	=IF(ISBLANK(E14),"",LOOKUP(E14,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";;  ")	=IF(ISBLANK(F14),"",M14)	=IF(ISBLANK(F14),"",LOOKUP(F14,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";;  ")	=IF(ISBLANK(G14),"",N14)	=IF(ISBLANK(G14),"",LOOKUP(G14,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";; ")	=IF(CONCAT(E14:G14)="","","esac ;;  "&UNICHAR(13)&UNICHAR(10))
			C0	Little j	Big J	Bar	on	0	12	1	[1-9]|1[0-9]|2[0-4]) 	2[5-9]|[3-9][0-9]|1[0-1][0-9]) 	12[0-7]) 	127	=IF(CONCAT(E15:G15)="","",UNICHAR(34)&H15&" "&I15&" "&J15&UNICHAR(34)&" ) case "&UNICHAR(34)&"$data2"&UNICHAR(34)&" in ")	=IF(ISBLANK(E15),"",L15)	=IF(ISBLANK(E15),"",LOOKUP(E15,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";;  ")	=IF(ISBLANK(F15),"",M15)	=IF(ISBLANK(F15),"",LOOKUP(F15,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";;  ")	=IF(ISBLANK(G15),"",N15)	=IF(ISBLANK(G15),"",LOOKUP(G15,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";; ")	=IF(CONCAT(E15:G15)="","","esac ;;  "&UNICHAR(13)&UNICHAR(10))
			C#0	Little e	Big E	Comma	on	0	13	1	[1-9]|1[0-9]|2[0-4]) 	2[5-9]|[3-9][0-9]|1[0-1][0-9]) 	12[0-7]) 	127	=IF(CONCAT(E16:G16)="","",UNICHAR(34)&H16&" "&I16&" "&J16&UNICHAR(34)&" ) case "&UNICHAR(34)&"$data2"&UNICHAR(34)&" in ")	=IF(ISBLANK(E16),"",L16)	=IF(ISBLANK(E16),"",LOOKUP(E16,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";;  ")	=IF(ISBLANK(F16),"",M16)	=IF(ISBLANK(F16),"",LOOKUP(F16,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";;  ")	=IF(ISBLANK(G16),"",N16)	=IF(ISBLANK(G16),"",LOOKUP(G16,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";; ")	=IF(CONCAT(E16:G16)="","","esac ;;  "&UNICHAR(13)&UNICHAR(10))
			D0	Little p	Big P	Colon	on	0	14	1	[1-9]|1[0-9]|2[0-4]) 	2[5-9]|[3-9][0-9]|1[0-1][0-9]) 	12[0-7]) 	127	=IF(CONCAT(E17:G17)="","",UNICHAR(34)&H17&" "&I17&" "&J17&UNICHAR(34)&" ) case "&UNICHAR(34)&"$data2"&UNICHAR(34)&" in ")	=IF(ISBLANK(E17),"",L17)	=IF(ISBLANK(E17),"",LOOKUP(E17,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";;  ")	=IF(ISBLANK(F17),"",M17)	=IF(ISBLANK(F17),"",LOOKUP(F17,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";;  ")	=IF(ISBLANK(G17),"",N17)	=IF(ISBLANK(G17),"",LOOKUP(G17,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";; ")	=IF(CONCAT(E17:G17)="","","esac ;;  "&UNICHAR(13)&UNICHAR(10))
			D#0	Little u	Big U	Period	on	0	15	1	[1-9]|1[0-9]|2[0-4]) 	2[5-9]|[3-9][0-9]|1[0-1][0-9]) 	12[0-7]) 	127	=IF(CONCAT(E18:G18)="","",UNICHAR(34)&H18&" "&I18&" "&J18&UNICHAR(34)&" ) case "&UNICHAR(34)&"$data2"&UNICHAR(34)&" in ")	=IF(ISBLANK(E18),"",L18)	=IF(ISBLANK(E18),"",LOOKUP(E18,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";;  ")	=IF(ISBLANK(F18),"",M18)	=IF(ISBLANK(F18),"",LOOKUP(F18,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";;  ")	=IF(ISBLANK(G18),"",N18)	=IF(ISBLANK(G18),"",LOOKUP(G18,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";; ")	=IF(CONCAT(E18:G18)="","","esac ;;  "&UNICHAR(13)&UNICHAR(10))
			E0	Little y	Big Y	Semicolon	on	0	16	1	[1-9]|1[0-9]|2[0-4]) 	2[5-9]|[3-9][0-9]|1[0-1][0-9]) 	12[0-7]) 	127	=IF(CONCAT(E19:G19)="","",UNICHAR(34)&H19&" "&I19&" "&J19&UNICHAR(34)&" ) case "&UNICHAR(34)&"$data2"&UNICHAR(34)&" in ")	=IF(ISBLANK(E19),"",L19)	=IF(ISBLANK(E19),"",LOOKUP(E19,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";;  ")	=IF(ISBLANK(F19),"",M19)	=IF(ISBLANK(F19),"",LOOKUP(F19,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";;  ")	=IF(ISBLANK(G19),"",N19)	=IF(ISBLANK(G19),"",LOOKUP(G19,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";; ")	=IF(CONCAT(E19:G19)="","","esac ;;  "&UNICHAR(13)&UNICHAR(10))
			F0	Backspace	Backspace	Delete	on	0	17	1	[1-9]|1[0-9]|2[0-4]) 	2[5-9]|[3-9][0-9]|1[0-1][0-9]) 	12[0-7]) 	127	=IF(CONCAT(E20:G20)="","",UNICHAR(34)&H20&" "&I20&" "&J20&UNICHAR(34)&" ) case "&UNICHAR(34)&"$data2"&UNICHAR(34)&" in ")	=IF(ISBLANK(E20),"",L20)	=IF(ISBLANK(E20),"",LOOKUP(E20,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";;  ")	=IF(ISBLANK(F20),"",M20)	=IF(ISBLANK(F20),"",LOOKUP(F20,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";;  ")	=IF(ISBLANK(G20),"",N20)	=IF(ISBLANK(G20),"",LOOKUP(G20,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";; ")	=IF(CONCAT(E20:G20)="","","esac ;;  "&UNICHAR(13)&UNICHAR(10))
			F#0	Little z	Big Z	At	on	0	18	1	[1-9]|1[0-9]|2[0-4]) 	2[5-9]|[3-9][0-9]|1[0-1][0-9]) 	12[0-7]) 	127	=IF(CONCAT(E21:G21)="","",UNICHAR(34)&H21&" "&I21&" "&J21&UNICHAR(34)&" ) case "&UNICHAR(34)&"$data2"&UNICHAR(34)&" in ")	=IF(ISBLANK(E21),"",L21)	=IF(ISBLANK(E21),"",LOOKUP(E21,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";;  ")	=IF(ISBLANK(F21),"",M21)	=IF(ISBLANK(F21),"",LOOKUP(F21,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";;  ")	=IF(ISBLANK(G21),"",N21)	=IF(ISBLANK(G21),"",LOOKUP(G21,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";; ")	=IF(CONCAT(E21:G21)="","","esac ;;  "&UNICHAR(13)&UNICHAR(10))
