OO	xdotool Keyname	keycode	New Desc	Type	Subtype	Unicode	XDO Description (orig)
560	scaron	0x01b9	Latin Small Letter s With Caron (U+0161)	Latin	Latin 2	U+0161	U+0161 LATIN SMALL LETTER S WITH CARON
561	scedilla	0x01ba	Latin Small Letter s With Cedilla (U+015F)	Latin	Latin 2	U+015F	U+015F LATIN SMALL LETTER S WITH CEDILLA
562	tcaron	0x01bb	Latin Small Letter t With Caron (U+0165)	Latin	Latin 2	U+0165	U+0165 LATIN SMALL LETTER T WITH CARON
563	zacute	0x01bc	Latin Small Letter z With Acute (U+017A)	Latin	Latin 2	U+017A	U+017A LATIN SMALL LETTER Z WITH ACUTE
564	doubleacute	0x01bd	Double Acute Accent (U+02DD)	Latin	Latin 2	U+02DD	U+02DD DOUBLE ACUTE ACCENT
565	zcaron	0x01be	Latin Small Letter z With Caron (U+017E)	Latin	Latin 2	U+017E	U+017E LATIN SMALL LETTER Z WITH CARON
566	zabovedot	0x01bf	Latin Small Letter z With Dot Above (U+017C)	Latin	Latin 2	U+017C	U+017C LATIN SMALL LETTER Z WITH DOT ABOVE
567	Racute	0x01c0	Latin Capital Letter R With Acute (U+0154)	Latin	Latin 2	U+0154	U+0154 LATIN CAPITAL LETTER R WITH ACUTE
568	Abreve	0x01c3	Latin Capital Letter A With Breve (U+0102)	Latin	Latin 2	U+0102	U+0102 LATIN CAPITAL LETTER A WITH BREVE
569	Lacute	0x01c5	Latin Capital Letter L With Acute (U+0139)	Latin	Latin 2	U+0139	U+0139 LATIN CAPITAL LETTER L WITH ACUTE
570	Cacute	0x01c6	Latin Capital Letter C With Acute (U+0106)	Latin	Latin 2	U+0106	U+0106 LATIN CAPITAL LETTER C WITH ACUTE
571	Ccaron	0x01c8	Latin Capital Letter C With Caron (U+010C)	Latin	Latin 2	U+010C	U+010C LATIN CAPITAL LETTER C WITH CARON
572	Eogonek	0x01ca	Latin Capital Letter E With Ogonek (U+0118)	Latin	Latin 2	U+0118	U+0118 LATIN CAPITAL LETTER E WITH OGONEK
573	Ecaron	0x01cc	Latin Capital Letter E With Caron (U+011A)	Latin	Latin 2	U+011A	U+011A LATIN CAPITAL LETTER E WITH CARON
574	Dcaron	0x01cf	Latin Capital Letter D With Caron (U+010E)	Latin	Latin 2	U+010E	U+010E LATIN CAPITAL LETTER D WITH CARON
575	Dstroke	0x01d0	Latin Capital Letter D With Stroke (U+0110)	Latin	Latin 2	U+0110	U+0110 LATIN CAPITAL LETTER D WITH STROKE
576	Nacute	0x01d1	Latin Capital Letter N With Acute (U+0143)	Latin	Latin 2	U+0143	U+0143 LATIN CAPITAL LETTER N WITH ACUTE
577	Ncaron	0x01d2	Latin Capital Letter N With Caron (U+0147)	Latin	Latin 2	U+0147	U+0147 LATIN CAPITAL LETTER N WITH CARON
578	Odoubleacute	0x01d5	Latin Capital Letter O With Double Acute (U+0150)	Latin	Latin 2	U+0150	U+0150 LATIN CAPITAL LETTER O WITH DOUBLE ACUTE
579	Rcaron	0x01d8	Latin Capital Letter R With Caron (U+0158)	Latin	Latin 2	U+0158	U+0158 LATIN CAPITAL LETTER R WITH CARON
580	Uring	0x01d9	Latin Capital Letter U With Ring Above (U+016E)	Latin	Latin 2	U+016E	U+016E LATIN CAPITAL LETTER U WITH RING ABOVE
581	Udoubleacute	0x01db	Latin Capital Letter U With Double Acute (U+0170)	Latin	Latin 2	U+0170	U+0170 LATIN CAPITAL LETTER U WITH DOUBLE ACUTE
582	Tcedilla	0x01de	Latin Capital Letter T With Cedilla (U+0162)	Latin	Latin 2	U+0162	U+0162 LATIN CAPITAL LETTER T WITH CEDILLA
583	racute	0x01e0	Latin Small Letter r With Acute (U+0155)	Latin	Latin 2	U+0155	U+0155 LATIN SMALL LETTER R WITH ACUTE
584	abreve	0x01e3	Latin Small Letter a With Breve (U+0103)	Latin	Latin 2	U+0103	U+0103 LATIN SMALL LETTER A WITH BREVE
585	lacute	0x01e5	Latin Small Letter l With Acute (U+013A)	Latin	Latin 2	U+013A	U+013A LATIN SMALL LETTER L WITH ACUTE
586	cacute	0x01e6	Latin Small Letter c With Acute (U+0107)	Latin	Latin 2	U+0107	U+0107 LATIN SMALL LETTER C WITH ACUTE
587	ccaron	0x01e8	Latin Small Letter c With Caron (U+010D)	Latin	Latin 2	U+010D	U+010D LATIN SMALL LETTER C WITH CARON
588	eogonek	0x01ea	Latin Small Letter e With Ogonek (U+0119)	Latin	Latin 2	U+0119	U+0119 LATIN SMALL LETTER E WITH OGONEK
589	ecaron	0x01ec	Latin Small Letter e With Caron (U+011B)	Latin	Latin 2	U+011B	U+011B LATIN SMALL LETTER E WITH CARON
590	dcaron	0x01ef	Latin Small Letter d With Caron (U+010F)	Latin	Latin 2	U+010F	U+010F LATIN SMALL LETTER D WITH CARON
591	dstroke	0x01f0	Latin Small Letter d With Stroke (U+0111)	Latin	Latin 2	U+0111	U+0111 LATIN SMALL LETTER D WITH STROKE
592	nacute	0x01f1	Latin Small Letter n With Acute (U+0144)	Latin	Latin 2	U+0144	U+0144 LATIN SMALL LETTER N WITH ACUTE
593	ncaron	0x01f2	Latin Small Letter n With Caron (U+0148)	Latin	Latin 2	U+0148	U+0148 LATIN SMALL LETTER N WITH CARON
594	odoubleacute	0x01f5	Latin Small Letter o With Double Acute (U+0151)	Latin	Latin 2	U+0151	U+0151 LATIN SMALL LETTER O WITH DOUBLE ACUTE
595	rcaron	0x01f8	Latin Small Letter r With Caron (U+0159)	Latin	Latin 2	U+0159	U+0159 LATIN SMALL LETTER R WITH CARON
596	uring	0x01f9	Latin Small Letter u With Ring Above (U+016F)	Latin	Latin 2	U+016F	U+016F LATIN SMALL LETTER U WITH RING ABOVE
597	udoubleacute	0x01fb	Latin Small Letter u With Double Acute (U+0171)	Latin	Latin 2	U+0171	U+0171 LATIN SMALL LETTER U WITH DOUBLE ACUTE
598	tcedilla	0x01fe	Latin Small Letter t With Cedilla (U+0163)	Latin	Latin 2	U+0163	U+0163 LATIN SMALL LETTER T WITH CEDILLA
599	abovedot	0x01ff	Dot Above (U+02D9)	Latin	Latin 2	U+02D9	U+02D9 DOT ABOVE
600	Hstroke	0x02a1	Latin Capital Letter H With Stroke (U+0126)	Latin	Latin 3	U+0126	U+0126 LATIN CAPITAL LETTER H WITH STROKE
601	Hcircumflex	0x02a6	Latin Capital Letter H With Circumflex (U+0124)	Latin	Latin 3	U+0124	U+0124 LATIN CAPITAL LETTER H WITH CIRCUMFLEX
602	Iabovedot	0x02a9	Latin Capital Letter I With Dot Above (U+0130)	Latin	Latin 3	U+0130	U+0130 LATIN CAPITAL LETTER I WITH DOT ABOVE
603	Gbreve	0x02ab	Latin Capital Letter G With Breve (U+011E)	Latin	Latin 3	U+011E	U+011E LATIN CAPITAL LETTER G WITH BREVE
604	Jcircumflex	0x02ac	Latin Capital Letter J With Circumflex (U+0134)	Latin	Latin 3	U+0134	U+0134 LATIN CAPITAL LETTER J WITH CIRCUMFLEX
605	hstroke	0x02b1	Latin Small Letter h With Stroke (U+0127)	Latin	Latin 3	U+0127	U+0127 LATIN SMALL LETTER H WITH STROKE
606	hcircumflex	0x02b6	Latin Small Letter h With Circumflex (U+0125)	Latin	Latin 3	U+0125	U+0125 LATIN SMALL LETTER H WITH CIRCUMFLEX
607	idotless	0x02b9	Latin Small Letter Dotless I (U+0131)	Latin	Latin 3	U+0131	U+0131 LATIN SMALL LETTER DOTLESS I
608	gbreve	0x02bb	Latin Small Letter g With Breve (U+011F)	Latin	Latin 3	U+011F	U+011F LATIN SMALL LETTER G WITH BREVE
609	jcircumflex	0x02bc	Latin Small Letter j With Circumflex (U+0135)	Latin	Latin 3	U+0135	U+0135 LATIN SMALL LETTER J WITH CIRCUMFLEX
610	Cabovedot	0x02c5	Latin Capital Letter C With Dot Above (U+010A)	Latin	Latin 3	U+010A	U+010A LATIN CAPITAL LETTER C WITH DOT ABOVE
611	Ccircumflex	0x02c6	Latin Capital Letter C With Circumflex (U+0108)	Latin	Latin 3	U+0108	U+0108 LATIN CAPITAL LETTER C WITH CIRCUMFLEX
612	Gabovedot	0x02d5	Latin Capital Letter G With Dot Above (U+0120)	Latin	Latin 3	U+0120	U+0120 LATIN CAPITAL LETTER G WITH DOT ABOVE
613	Gcircumflex	0x02d8	Latin Capital Letter G With Circumflex (U+011C)	Latin	Latin 3	U+011C	U+011C LATIN CAPITAL LETTER G WITH CIRCUMFLEX
614	Ubreve	0x02dd	Latin Capital Letter U With Breve (U+016C)	Latin	Latin 3	U+016C	U+016C LATIN CAPITAL LETTER U WITH BREVE
615	Scircumflex	0x02de	Latin Capital Letter S With Circumflex (U+015C)	Latin	Latin 3	U+015C	U+015C LATIN CAPITAL LETTER S WITH CIRCUMFLEX
616	cabovedot	0x02e5	Latin Small Letter c With Dot Above (U+010B)	Latin	Latin 3	U+010B	U+010B LATIN SMALL LETTER C WITH DOT ABOVE
617	ccircumflex	0x02e6	Latin Small Letter c With Circumflex (U+0109)	Latin	Latin 3	U+0109	U+0109 LATIN SMALL LETTER C WITH CIRCUMFLEX
618	gabovedot	0x02f5	Latin Small Letter g With Dot Above (U+0121)	Latin	Latin 3	U+0121	U+0121 LATIN SMALL LETTER G WITH DOT ABOVE
619	gcircumflex	0x02f8	Latin Small Letter g With Circumflex (U+011D)	Latin	Latin 3	U+011D	U+011D LATIN SMALL LETTER G WITH CIRCUMFLEX
620	ubreve	0x02fd	Latin Small Letter u With Breve (U+016D)	Latin	Latin 3	U+016D	U+016D LATIN SMALL LETTER U WITH BREVE
621	scircumflex	0x02fe	Latin Small Letter s With Circumflex (U+015D)	Latin	Latin 3	U+015D	U+015D LATIN SMALL LETTER S WITH CIRCUMFLEX
622	kra	0x03a2	Latin Small Letter kra (U+0138)	Latin	Latin 4	U+0138	U+0138 LATIN SMALL LETTER KRA
623	kappa	0x03a2	deprecated	Latin	Latin 4	U+0138	deprecated
624	Rcedilla	0x03a3	Latin Capital Letter R With Cedilla (U+0156)	Latin	Latin 4	U+0156	U+0156 LATIN CAPITAL LETTER R WITH CEDILLA
625	Itilde	0x03a5	Latin Capital Letter I With Tilde (U+0128)	Latin	Latin 4	U+0128	U+0128 LATIN CAPITAL LETTER I WITH TILDE
626	Lcedilla	0x03a6	Latin Capital Letter L With Cedilla (U+013B)	Latin	Latin 4	U+013B	U+013B LATIN CAPITAL LETTER L WITH CEDILLA
627	Emacron	0x03aa	Latin Capital Letter E With Macron (U+0112)	Latin	Latin 4	U+0112	U+0112 LATIN CAPITAL LETTER E WITH MACRON
628	Gcedilla	0x03ab	Latin Capital Letter G With Cedilla (U+0122)	Latin	Latin 4	U+0122	U+0122 LATIN CAPITAL LETTER G WITH CEDILLA
629	Tslash	0x03ac	Latin Capital Letter T With Stroke (U+0166)	Latin	Latin 4	U+0166	U+0166 LATIN CAPITAL LETTER T WITH STROKE
630	rcedilla	0x03b3	Latin Small Letter r With Cedilla (U+0157)	Latin	Latin 4	U+0157	U+0157 LATIN SMALL LETTER R WITH CEDILLA
631	itilde	0x03b5	Latin Small Letter i With Tilde (U+0129)	Latin	Latin 4	U+0129	U+0129 LATIN SMALL LETTER I WITH TILDE
632	lcedilla	0x03b6	Latin Small Letter l With Cedilla (U+013C)	Latin	Latin 4	U+013C	U+013C LATIN SMALL LETTER L WITH CEDILLA
633	emacron	0x03ba	Latin Small Letter e With Macron (U+0113)	Latin	Latin 4	U+0113	U+0113 LATIN SMALL LETTER E WITH MACRON
634	gcedilla	0x03bb	Latin Small Letter g With Cedilla (U+0123)	Latin	Latin 4	U+0123	U+0123 LATIN SMALL LETTER G WITH CEDILLA
635	tslash	0x03bc	Latin Small Letter t With Stroke (U+0167)	Latin	Latin 4	U+0167	U+0167 LATIN SMALL LETTER T WITH STROKE
636	ENG	0x03bd	Latin Capital Letter Eng (U+014A)	Latin	Latin 4	U+014A	U+014A LATIN CAPITAL LETTER ENG
637	eng	0x03bf	Latin Small Letter eng (U+014B)	Latin	Latin 4	U+014B	U+014B LATIN SMALL LETTER ENG
638	Amacron	0x03c0	Latin Capital Letter A With Macron (U+0100)	Latin	Latin 4	U+0100	U+0100 LATIN CAPITAL LETTER A WITH MACRON
639	Iogonek	0x03c7	Latin Capital Letter I With Ogonek (U+012E)	Latin	Latin 4	U+012E	U+012E LATIN CAPITAL LETTER I WITH OGONEK
640	Eabovedot	0x03cc	Latin Capital Letter E With Dot Above (U+0116)	Latin	Latin 4	U+0116	U+0116 LATIN CAPITAL LETTER E WITH DOT ABOVE
641	Imacron	0x03cf	Latin Capital Letter I With Macron (U+012A)	Latin	Latin 4	U+012A	U+012A LATIN CAPITAL LETTER I WITH MACRON
642	Ncedilla	0x03d1	Latin Capital Letter N With Cedilla (U+0145)	Latin	Latin 4	U+0145	U+0145 LATIN CAPITAL LETTER N WITH CEDILLA
643	Omacron	0x03d2	Latin Capital Letter O With Macron (U+014C)	Latin	Latin 4	U+014C	U+014C LATIN CAPITAL LETTER O WITH MACRON
644	Kcedilla	0x03d3	Latin Capital Letter K With Cedilla (U+0136)	Latin	Latin 4	U+0136	U+0136 LATIN CAPITAL LETTER K WITH CEDILLA
645	Uogonek	0x03d9	Latin Capital Letter U With Ogonek (U+0172)	Latin	Latin 4	U+0172	U+0172 LATIN CAPITAL LETTER U WITH OGONEK
646	Utilde	0x03dd	Latin Capital Letter U With Tilde (U+0168)	Latin	Latin 4	U+0168	U+0168 LATIN CAPITAL LETTER U WITH TILDE
647	Umacron	0x03de	Latin Capital Letter U With Macron (U+016A)	Latin	Latin 4	U+016A	U+016A LATIN CAPITAL LETTER U WITH MACRON
648	amacron	0x03e0	Latin Small Letter a With Macron (U+0101)	Latin	Latin 4	U+0101	U+0101 LATIN SMALL LETTER A WITH MACRON
649	iogonek	0x03e7	Latin Small Letter i With Ogonek (U+012F)	Latin	Latin 4	U+012F	U+012F LATIN SMALL LETTER I WITH OGONEK
650	eabovedot	0x03ec	Latin Small Letter e With Dot Above (U+0117)	Latin	Latin 4	U+0117	U+0117 LATIN SMALL LETTER E WITH DOT ABOVE
651	imacron	0x03ef	Latin Small Letter i With Macron (U+012B)	Latin	Latin 4	U+012B	U+012B LATIN SMALL LETTER I WITH MACRON
652	ncedilla	0x03f1	Latin Small Letter n With Cedilla (U+0146)	Latin	Latin 4	U+0146	U+0146 LATIN SMALL LETTER N WITH CEDILLA
653	omacron	0x03f2	Latin Small Letter o With Macron (U+014D)	Latin	Latin 4	U+014D	U+014D LATIN SMALL LETTER O WITH MACRON
654	kcedilla	0x03f3	Latin Small Letter k With Cedilla (U+0137)	Latin	Latin 4	U+0137	U+0137 LATIN SMALL LETTER K WITH CEDILLA
655	uogonek	0x03f9	Latin Small Letter u With Ogonek (U+0173)	Latin	Latin 4	U+0173	U+0173 LATIN SMALL LETTER U WITH OGONEK
656	utilde	0x03fd	Latin Small Letter u With Tilde (U+0169)	Latin	Latin 4	U+0169	U+0169 LATIN SMALL LETTER U WITH TILDE
657	umacron	0x03fe	Latin Small Letter u With Macron (U+016B)	Latin	Latin 4	U+016B	U+016B LATIN SMALL LETTER U WITH MACRON
658	Wcircumflex	0x1000174	Latin Capital Letter W With Circumflex (U+0174)	Latin	Latin 8	U+0174	U+0174 LATIN CAPITAL LETTER W WITH CIRCUMFLEX
659	wcircumflex	0x1000175	Latin Small Letter w With Circumflex (U+0175)	Latin	Latin 8	U+0175	U+0175 LATIN SMALL LETTER W WITH CIRCUMFLEX
660	Ycircumflex	0x1000176	Latin Capital Letter Y With Circumflex (U+0176)	Latin	Latin 8	U+0176	U+0176 LATIN CAPITAL LETTER Y WITH CIRCUMFLEX
661	ycircumflex	0x1000177	Latin Small Letter y With Circumflex (U+0177)	Latin	Latin 8	U+0177	U+0177 LATIN SMALL LETTER Y WITH CIRCUMFLEX
662	Babovedot	0x1001e02	Latin Capital Letter B With Dot Above (U+1E02)	Latin	Latin 8	U+1E02	U+1E02 LATIN CAPITAL LETTER B WITH DOT ABOVE
663	babovedot	0x1001e03	Latin Small Letter b With Dot Above (U+1E03)	Latin	Latin 8	U+1E03	U+1E03 LATIN SMALL LETTER B WITH DOT ABOVE
664	Dabovedot	0x1001e0a	Latin Capital Letter D With Dot Above (U+1E0A)	Latin	Latin 8	U+1E0A	U+1E0A LATIN CAPITAL LETTER D WITH DOT ABOVE
665	dabovedot	0x1001e0b	Latin Small Letter d With Dot Above (U+1E0B)	Latin	Latin 8	U+1E0B	U+1E0B LATIN SMALL LETTER D WITH DOT ABOVE
666	Fabovedot	0x1001e1e	Latin Capital Letter F With Dot Above (U+1E1E)	Latin	Latin 8	U+1E1E	U+1E1E LATIN CAPITAL LETTER F WITH DOT ABOVE
667	fabovedot	0x1001e1f	Latin Small Letter f With Dot Above (U+1E1F)	Latin	Latin 8	U+1E1F	U+1E1F LATIN SMALL LETTER F WITH DOT ABOVE
668	Mabovedot	0x1001e40	Latin Capital Letter M With Dot Above (U+1E40)	Latin	Latin 8	U+1E40	U+1E40 LATIN CAPITAL LETTER M WITH DOT ABOVE
669	mabovedot	0x1001e41	Latin Small Letter m With Dot Above (U+1E41)	Latin	Latin 8	U+1E41	U+1E41 LATIN SMALL LETTER M WITH DOT ABOVE
670	Pabovedot	0x1001e56	Latin Capital Letter P With Dot Above (U+1E56)	Latin	Latin 8	U+1E56	U+1E56 LATIN CAPITAL LETTER P WITH DOT ABOVE
671	pabovedot	0x1001e57	Latin Small Letter p With Dot Above (U+1E57)	Latin	Latin 8	U+1E57	U+1E57 LATIN SMALL LETTER P WITH DOT ABOVE
672	Sabovedot	0x1001e60	Latin Capital Letter S With Dot Above (U+1E60)	Latin	Latin 8	U+1E60	U+1E60 LATIN CAPITAL LETTER S WITH DOT ABOVE
673	sabovedot	0x1001e61	Latin Small Letter s With Dot Above (U+1E61)	Latin	Latin 8	U+1E61	U+1E61 LATIN SMALL LETTER S WITH DOT ABOVE
674	Tabovedot	0x1001e6a	Latin Capital Letter T With Dot Above (U+1E6A)	Latin	Latin 8	U+1E6A	U+1E6A LATIN CAPITAL LETTER T WITH DOT ABOVE
675	tabovedot	0x1001e6b	Latin Small Letter t With Dot Above (U+1E6B)	Latin	Latin 8	U+1E6B	U+1E6B LATIN SMALL LETTER T WITH DOT ABOVE
676	Wgrave	0x1001e80	Latin Capital Letter W With Grave (U+1E80)	Latin	Latin 8	U+1E80	U+1E80 LATIN CAPITAL LETTER W WITH GRAVE
677	wgrave	0x1001e81	Latin Small Letter w With Grave (U+1E81)	Latin	Latin 8	U+1E81	U+1E81 LATIN SMALL LETTER W WITH GRAVE
678	Wacute	0x1001e82	Latin Capital Letter W With Acute (U+1E82)	Latin	Latin 8	U+1E82	U+1E82 LATIN CAPITAL LETTER W WITH ACUTE
679	wacute	0x1001e83	Latin Small Letter w With Acute (U+1E83)	Latin	Latin 8	U+1E83	U+1E83 LATIN SMALL LETTER W WITH ACUTE
680	Wdiaeresis	0x1001e84	Latin Capital Letter W With Diaeresis (U+1E84)	Latin	Latin 8	U+1E84	U+1E84 LATIN CAPITAL LETTER W WITH DIAERESIS
681	wdiaeresis	0x1001e85	Latin Small Letter w With Diaeresis (U+1E85)	Latin	Latin 8	U+1E85	U+1E85 LATIN SMALL LETTER W WITH DIAERESIS
682	Ygrave	0x1001ef2	Latin Capital Letter Y With Grave (U+1EF2)	Latin	Latin 8	U+1EF2	U+1EF2 LATIN CAPITAL LETTER Y WITH GRAVE
683	ygrave	0x1001ef3	Latin Small Letter y With Grave (U+1EF3)	Latin	Latin 8	U+1EF3	U+1EF3 LATIN SMALL LETTER Y WITH GRAVE
684	OE	0x13bc	Latin Capital Ligature OE (U+0152)	Latin	Latin 9	U+0152	U+0152 LATIN CAPITAL LIGATURE OE
685	oe	0x13bd	Latin Small Ligature oe (U+0153)	Latin	Latin 9	U+0153	U+0153 LATIN SMALL LIGATURE OE
686	Ydiaeresis	0x13be	Latin Capital Letter Y With Diaeresis (U+0178)	Latin	Latin 9	U+0178	U+0178 LATIN CAPITAL LETTER Y WITH DIAERESIS
687	overline	0x047e	Overline (U+203E)	Katakana		U+203E	U+203E OVERLINE
688	kana_fullstop	0x04a1	Ideographic Full Stop (U+3002)	Katakana		U+3002	U+3002 IDEOGRAPHIC FULL STOP
689	kana_openingbracket	0x04a2	Left Corner Bracket (U+300C)	Katakana		U+300C	U+300C LEFT CORNER BRACKET
690	kana_closingbracket	0x04a3	Right Corner Bracket (U+300D)	Katakana		U+300D	U+300D RIGHT CORNER BRACKET
691	kana_comma	0x04a4	Ideographic Comma (U+3001)	Katakana		U+3001	U+3001 IDEOGRAPHIC COMMA
692	kana_conjunctive	0x04a5	Katakana Middle Dot (U+30FB)	Katakana		U+30FB	U+30FB KATAKANA MIDDLE DOT
693	kana_middledot	0x04a5	deprecated	Katakana		U+30FB	deprecated
694	kana_WO	0x04a6	Katakana Letter Wo (U+30f2)	Katakana		U+30F2	U+30F2 KATAKANA LETTER WO
695	kana_a	0x04a7	Katakana Letter Small A (U+30a1)	Katakana		U+30A1	U+30A1 KATAKANA LETTER SMALL A
696	kana_i	0x04a8	Katakana Letter Small I (U+30a3)	Katakana		U+30A3	U+30A3 KATAKANA LETTER SMALL I
697	kana_u	0x04a9	Katakana Letter Small U (U+30a5)	Katakana		U+30A5	U+30A5 KATAKANA LETTER SMALL U
698	kana_e	0x04aa	Katakana Letter Small E (U+30a7)	Katakana		U+30A7	U+30A7 KATAKANA LETTER SMALL E
699	kana_o	0x04ab	Katakana Letter Small O (U+30a9)	Katakana		U+30A9	U+30A9 KATAKANA LETTER SMALL O
700	kana_ya	0x04ac	Katakana Letter Small Ya (U+30e3)	Katakana		U+30E3	U+30E3 KATAKANA LETTER SMALL YA
701	kana_yu	0x04ad	Katakana Letter Small Yu (U+30e5)	Katakana		U+30E5	U+30E5 KATAKANA LETTER SMALL YU
702	kana_yo	0x04ae	Katakana Letter Small Yo (U+30e7)	Katakana		U+30E7	U+30E7 KATAKANA LETTER SMALL YO
703	kana_tsu	0x04af	Katakana Letter Small Tu (U+30c3)	Katakana		U+30C3	U+30C3 KATAKANA LETTER SMALL TU
704	kana_tu	0x04af	deprecated	Katakana		U+30C3	deprecated
705	prolongedsound	0x04b0	Katakana-Hiragana Prolonged Sound Mark (U+30fc)	Katakana		U+30FC	U+30FC KATAKANA-HIRAGANA PROLONGED SOUND MARK
706	kana_A	0x04b1	Katakana Letter A (U+30a2)	Katakana		U+30A2	U+30A2 KATAKANA LETTER A
707	kana_I	0x04b2	Katakana Letter I (U+30a4)	Katakana		U+30A4	U+30A4 KATAKANA LETTER I
708	kana_U	0x04b3	Katakana Letter U (U+30a6)	Katakana		U+30A6	U+30A6 KATAKANA LETTER U
709	kana_E	0x04b4	Katakana Letter E (U+30a8)	Katakana		U+30A8	U+30A8 KATAKANA LETTER E
710	kana_O	0x04b5	Katakana Letter O (U+30aa)	Katakana		U+30AA	U+30AA KATAKANA LETTER O
711	kana_KA	0x04b6	Katakana Letter Ka (U+30ab)	Katakana		U+30AB	U+30AB KATAKANA LETTER KA
712	kana_KI	0x04b7	Katakana Letter Ki (U+30ad)	Katakana		U+30AD	U+30AD KATAKANA LETTER KI
713	kana_KU	0x04b8	Katakana Letter Ku (U+30af)	Katakana		U+30AF	U+30AF KATAKANA LETTER KU
714	kana_KE	0x04b9	Katakana Letter Ke (U+30b1)	Katakana		U+30B1	U+30B1 KATAKANA LETTER KE
715	kana_KO	0x04ba	Katakana Letter Ko (U+30b3)	Katakana		U+30B3	U+30B3 KATAKANA LETTER KO
716	kana_SA	0x04bb	Katakana Letter Sa (U+30b5)	Katakana		U+30B5	U+30B5 KATAKANA LETTER SA
717	kana_SHI	0x04bc	Katakana Letter Si (U+30b7)	Katakana		U+30B7	U+30B7 KATAKANA LETTER SI
718	kana_SU	0x04bd	Katakana Letter Su (U+30b9)	Katakana		U+30B9	U+30B9 KATAKANA LETTER SU
719	kana_SE	0x04be	Katakana Letter Se (U+30bb)	Katakana		U+30BB	U+30BB KATAKANA LETTER SE
720	kana_SO	0x04bf	Katakana Letter So (U+30bd)	Katakana		U+30BD	U+30BD KATAKANA LETTER SO
721	kana_TA	0x04c0	Katakana Letter Ta (U+30bf)	Katakana		U+30BF	U+30BF KATAKANA LETTER TA
722	kana_CHI	0x04c1	Katakana Letter Ti (U+30c1)	Katakana		U+30C1	U+30C1 KATAKANA LETTER TI
723	kana_TI	0x04c1	deprecated	Katakana		U+30C1	deprecated
724	kana_TSU	0x04c2	Katakana Letter Tu (U+30c4)	Katakana		U+30C4	U+30C4 KATAKANA LETTER TU
725	kana_TU	0x04c2	deprecated	Katakana		U+30C4	deprecated
726	kana_TE	0x04c3	Katakana Letter Te (U+30c6)	Katakana		U+30C6	U+30C6 KATAKANA LETTER TE
727	kana_TO	0x04c4	Katakana Letter To (U+30c8)	Katakana		U+30C8	U+30C8 KATAKANA LETTER TO
728	kana_NA	0x04c5	Katakana Letter Na (U+30ca)	Katakana		U+30CA	U+30CA KATAKANA LETTER NA
729	kana_NI	0x04c6	Katakana Letter Ni (U+30cb)	Katakana		U+30CB	U+30CB KATAKANA LETTER NI
730	kana_NU	0x04c7	Katakana Letter Nu (U+30cc)	Katakana		U+30CC	U+30CC KATAKANA LETTER NU
731	kana_NE	0x04c8	Katakana Letter Ne (U+30cd)	Katakana		U+30CD	U+30CD KATAKANA LETTER NE
732	kana_NO	0x04c9	Katakana Letter No (U+30ce)	Katakana		U+30CE	U+30CE KATAKANA LETTER NO
733	kana_HA	0x04ca	Katakana Letter Ha (U+30cf)	Katakana		U+30CF	U+30CF KATAKANA LETTER HA
734	kana_HI	0x04cb	Katakana Letter Hi (U+30d2)	Katakana		U+30D2	U+30D2 KATAKANA LETTER HI
735	kana_FU	0x04cc	Katakana Letter Hu (U+30d5)	Katakana		U+30D5	U+30D5 KATAKANA LETTER HU
736	kana_HU	0x04cc	deprecated	Katakana		U+30D5	deprecated
737	kana_HE	0x04cd	Katakana Letter He (U+30d8)	Katakana		U+30D8	U+30D8 KATAKANA LETTER HE
738	kana_HO	0x04ce	Katakana Letter Ho (U+30db)	Katakana		U+30DB	U+30DB KATAKANA LETTER HO
739	kana_MA	0x04cf	Katakana Letter Ma (U+30de)	Katakana		U+30DE	U+30DE KATAKANA LETTER MA
740	kana_MI	0x04d0	Katakana Letter Mi (U+30df)	Katakana		U+30DF	U+30DF KATAKANA LETTER MI
741	kana_MU	0x04d1	Katakana Letter Mu (U+30e0)	Katakana		U+30E0	U+30E0 KATAKANA LETTER MU
742	kana_ME	0x04d2	Katakana Letter Me (U+30e1)	Katakana		U+30E1	U+30E1 KATAKANA LETTER ME
743	kana_MO	0x04d3	Katakana Letter Mo (U+30e2)	Katakana		U+30E2	U+30E2 KATAKANA LETTER MO
744	kana_YA	0x04d4	Katakana Letter Ya (U+30e4)	Katakana		U+30E4	U+30E4 KATAKANA LETTER YA
745	kana_YU	0x04d5	Katakana Letter Yu (U+30e6)	Katakana		U+30E6	U+30E6 KATAKANA LETTER YU
746	kana_YO	0x04d6	Katakana Letter Yo (U+30e8)	Katakana		U+30E8	U+30E8 KATAKANA LETTER YO
747	kana_RA	0x04d7	Katakana Letter Ra (U+30e9)	Katakana		U+30E9	U+30E9 KATAKANA LETTER RA
748	kana_RI	0x04d8	Katakana Letter Ri (U+30ea)	Katakana		U+30EA	U+30EA KATAKANA LETTER RI
749	kana_RU	0x04d9	Katakana Letter Ru (U+30eb)	Katakana		U+30EB	U+30EB KATAKANA LETTER RU
750	kana_RE	0x04da	Katakana Letter Re (U+30ec)	Katakana		U+30EC	U+30EC KATAKANA LETTER RE
751	kana_RO	0x04db	Katakana Letter Ro (U+30ed)	Katakana		U+30ED	U+30ED KATAKANA LETTER RO
